country,violence,age,age_first,duration,urban,edu,n_children,employ_paid,own_house,own_land,att_wb,fam_ipv,part_age,part_edu,alcohol,wealth_idx,telephone_yes
PK,1,43,13.0,29.0,0,0,1,0,0,0,1,1,45.0,5.0,0,1,0
PK,1,28,24.0,3.0,0,0,6,0,0,0,1,0,27.0,15.0,0,4,1
PK,1,41,18.0,23.0,0,0,1,0,0,0,0,1,48.0,4.0,0,1,0
PK,1,22,14.0,7.0,0,0,2,0,0,0,1,0,29.0,7.0,0,1,0
PK,0,23,23.0,0.0,0,9,1,0,0,0,1,0,26.0,9.0,0,1,0
PK,1,19,16.0,3.0,0,0,2,0,0,0,1,0,38.0,12.0,0,2,0
PK,1,34,17.0,17.0,0,0,1,0,0,0,1,0,42.0,10.0,0,3,0
PK,0,36,13.0,23.0,0,0,0,0,0,0,0,0,55.0,0.0,0,0,0
PK,0,45,15.0,29.0,0,0,2,0,0,0,1,1,44.0,12.0,0,2,0
PK,1,28,20.0,8.0,0,5,3,0,0,0,1,1,31.0,10.0,0,1,0
PK,1,24,16.0,7.0,0,0,3,0,0,0,0,1,36.0,3.0,0,1,0
PK,1,22,18.0,4.0,1,10,1,0,0,0,0,1,34.0,8.0,0,3,0
PK,0,46,23.0,23.0,1,10,0,0,0,0,0,0,46.0,11.0,0,4,0
PK,1,21,17.0,4.0,1,6,2,0,0,0,0,1,25.0,12.0,0,3,0
PK,0,29,18.0,11.0,1,10,3,0,0,0,1,0,34.0,8.0,0,4,0
PK,1,43,20.0,22.0,1,10,0,0,0,0,0,0,45.0,10.0,1,2,0
PK,0,34,17.0,17.0,0,0,0,0,0,0,0,0,40.0,0.0,0,1,0
PK,0,45,22.0,23.0,0,0,0,0,0,0,0,0,55.0,0.0,0,1,0
PK,0,28,26.0,2.0,0,0,1,0,0,0,0,0,35.0,0.0,0,0,0
PK,0,33,16.0,16.0,0,0,0,0,0,0,0,0,38.0,0.0,0,1,0
PK,1,34,13.0,21.0,0,0,2,0,0,0,1,1,38.0,0.0,0,1,0
PK,0,36,16.0,20.0,0,7,0,0,0,0,1,0,41.0,10.0,0,1,0
PK,0,27,24.0,3.0,0,7,2,0,0,0,0,0,33.0,10.0,0,1,0
PK,0,22,21.0,1.0,0,5,0,0,0,0,0,0,22.0,5.0,0,1,0
